PLAYER,POS,TEAM,OPP,LINEUP,SAL,FPTS,VAL,MIN EXP,MAX EXP,RST%
Garrett Crochet,P,BOS,CHC,SP,10400,19.55,1.88,0,100,39.95
Nick Pivetta,P,SD,WSH,SP,10100,17.25,1.71,0,100,15.16
Kris Bubic,P,KC,MIA,SP,9800,16.93,1.73,0,100,10.09
Gavin Williams,P,CLE,ATH,SP,7100,16.28,2.29,0,100,17.12
Ranger Suarez,P,PHI,LAA,SP,9500,16.13,1.7,0,100,12.81
Grant Holmes,P,ATL,NYY,SP,7500,15.73,2.1,0,100,16.58
David Peterson,P,NYM,CIN,SP,8600,14.96,1.74,0,100,11.64
MacKenzie Gore,P,WSH,SD,SP,9200,14.88,1.62,0,100,7.73
Andrew Heaney,P,PIT,CWS,SP,5800,13.63,2.35,0,100,10.15
Andrew Abbott,P,CIN,NYM,SP,8000,13.19,1.65,0,100,15.26
Cade Horton,P,CHC,BOS,SP,6800,12.72,1.87,0,100,12.13
Janson Junk,P,MIA,KC,SP,6100,12.44,2.04,0,100,5.97
Jeffrey Springs,P,ATH,CLE,SP,5900,12.18,2.06,0,100,7.04
Jose Soriano,P,LAA,PHI,SP,6700,12.1,1.81,0,100,10.42
Aaron Civale,P,CWS,PIT,SP,5300,11.99,2.26,0,100,4.68
Aaron Judge,OF,NYY,ATL,2,6400,11.72,1.83,0,100,13.79
Bobby Witt,SS,KC,MIA,2,5700,11.25,1.97,0,100,11.06
Jose Ramirez,3B,CLE,ATH,3,5600,10.82,1.93,0,100,23.31
Ronald Acuna,OF,ATL,NYY,3,6200,10.39,1.68,0,100,11.50
Oneil Cruz,OF,PIT,CWS,5,5200,10.27,1.98,0,100,9.18
James Wood,OF,WSH,SD,2,6100,10.08,1.65,0,100,1.03
Matt Olson,1B,ATL,NYY,2,5300,9.97,1.88,0,100,11.45
Francisco Lindor,SS,NYM,CIN,1,5300,9.96,1.88,0,100,12.59
Bryce Harper,1B,PHI,LAA,3,5400,9.96,1.84,0,100,10.36
Fernando Tatis,OF,SD,WSH,4,5600,9.87,1.76,0,100,3.17
Kyle Schwarber,OF,PHI,LAA,2,5800,9.66,1.67,0,100,9.95
Jurickson Profar,OF,ATL,NYY,1,3600,9.53,2.65,0,100,16.51
Manny Machado,3B,SD,WSH,2,5000,9.45,1.89,0,100,18.03
Cody Bellinger,1B/OF,NYY,ATL,3,5100,9.36,1.84,0,100,3.19
Jasson Dominguez,OF,NYY,ATL,1,3800,9.34,2.46,0,100,2.55
Zach Neto,SS,LAA,PHI,1,5400,9.23,1.71,0,100,1.55
Juan Soto,OF,NYM,CIN,3,5800,9.23,1.59,0,100,10.73
Pete Alonso,1B,NYM,CIN,4,4900,9.23,1.88,0,100,9.04
Luis Robert,OF,CWS,PIT,6,3500,9.17,2.62,0,100,5.82
